N,Solver,Gamma,Variables_Totales,Variables_Binarias,Tiempo_Fase_1_MILP_Seg,Status_Fase_1,Tiempo_Fase_2_LP_Seg,Status_Fase_2,Verificacion_Politica
5,GUROBI,0.8588,655,630,0.04,OPTIMAL,0.0,OPTIMAL,EXITOSO
15,GUROBI,0.8415,6615,6390,0.26,OPTIMAL,0.04,OPTIMAL,EXITOSO
30,GUROBI,0.9403,27180,26280,2.46,OPTIMAL,0.18,OPTIMAL,EXITOSO
50,GUROBI,0.8815,76300,73800,9.57,OPTIMAL,0.52,OPTIMAL,EXITOSO
100,GUROBI,0.8181,307600,297600,33.16,OPTIMAL,2.14,OPTIMAL,EXITOSO
